quercus.sp	agrilus.sp	interaction	min.dist.mean	min.dist.mean.norm	min.dist.mean.log	min.dist.median	min.dist.median.norm	min.dist.median.log
Q. agrifolia	A. ussuricola	0	293.903663803245	0.999999968581619	0.49933552350792	306.645910240759	0.999999993199997	0.540459891920631
Q. bicolor	A. acutipennis	0	0.909223229861509	0.000165323708873236	0.161222307831948	0.480538291924462	4.61823435638215e-05	0.121497299929811
Q. bicolor	A. albocomus	0	2513.52601206224	1	0.842885009971945	2514.71049566655	1	0.844428477835706
Q. bicolor	A. angelicus	0	3146.59726909685	1	0.862464807327266	3147.72476720066	1	0.863811464073649
Q. bicolor	A. angustulus	0	0.131265034864648	3.44609593766141e-06	0.0327946838152692	0.091740150684967	1.68324963279739e-06	0.0258563310371274
Q. bicolor	A. arcuatus	0	0.102924590795656	2.11869203353301e-06	0.0213995038311962	0.0753622896750589	1.13589429587873e-06	0.0181479150871128
Q. bicolor	A. asiaticus	0	0.711734811635314	0.000101308156400844	0.142240864011197	0.320911855208829	2.05966716481815e-05	0.0937384490972846
Q. bicolor	A. atricornis	0	0.376587054140251	2.83631596271901e-05	0.0958230488161698	0.249597346505132	1.2459689453966e-05	0.077711470583951
Q. bicolor	A. auroguttatus	0	2568.11316097385	1	0.844757684383573	2569.3314296632	1	0.846283531453974
Q. bicolor	A. biguttatus	0	0.877629994468948	0.000154035016826559	0.158450002870297	0.550819292168041	6.06785375079782e-05	0.131363112285186
Q. bicolor	A. bilineatus	0	0.100858322790631	2.03447818569144e-06	0.02050739347383	0.0718633075486299	1.03286646088706e-06	0.0164079059267548
Q. bicolor	A. chiricahuae	0	2934.27485727766	1	0.856375493819168	2935.43339299189	1	0.857783478646556
Q. bicolor	A. coxalis	0	2968.66789470829	1	0.857391200333759	2968.22469491883	1	0.858742512768845
Q. bicolor	A. crinicornis	0	0.0711233748193862	1.01170637735407e-06	0.00654212509804714	0.0531768747555614	5.65555841665941e-07	0.00647044724236683
Q. bicolor	A. cyaneoniger	0	15244.2790003408	1	1	15243.9778349225	1	1
Q. bicolor	A. defectus	0	0.289238080609246	1.67315934801327e-05	0.0781755311717637	0.238901142830011	1.14146860610026e-05	0.0750287931327354
Q. bicolor	A. geminatus	0	0.260529667640539	1.35750494022434e-05	0.0714971549314524	0.187449640471809	7.02744884979682e-06	0.0608131344267112
Q. bicolor	A. graminis	0	0.132480010657545	3.5101844840027e-06	0.0332514199930409	0.0919593256375216	1.69130208387259e-06	0.0259549604857695
Q. bicolor	A. grandiceps	0	3505.15090853624	1	0.871870753514511	3504.85938612555	1	0.87308943611511
Q. bicolor	A. hastulifer	0	0.877629994468948	0.000154035016826559	0.158450002870297	0.550819292168041	6.06785375079782e-05	0.131363112285186
Q. bicolor	A. hemiphanes	0	0.618466674937936	7.64972795356213e-05	0.131601897537314	0.43781953342571	3.83364539090911e-05	0.114898635540327
Q. bicolor	A. laticornis	0	0.872125383334613	0.000152108967109137	0.157957823112325	0.550819292168041	6.06785375079782e-05	0.131363112285186
Q. bicolor	A. niveoguttatus	0	14180.5902751953	1	0.993695329147183	14179.8236089537	1	0.993752602447613
Q. bicolor	A. obscuricollis	0	0.877629994468948	0.000154035016826559	0.158450002870297	0.550819292168041	6.06785375079782e-05	0.131363112285186
Q. bicolor	A. obsoletoguttatus	0	0.0587500532427911	6.9031351297526e-07	0	0.0421163013147552	3.54756504311814e-07	0
Q. bicolor	A. osburni	0	0.272589936745343	1.48609442979151e-05	0.0743652756299424	0.188982256575223	7.14283314983593e-06	0.0612722195784495
Q. bicolor	A. parkeri	0	2484.53991432602	1	0.841874009543718	2485.7286876852	1	0.843427759951876
Q. bicolor	A. quercicola	1	0.127029849618184	3.22731133100872e-06	0.0311836085061369	0.0889463306776838	1.582288696359e-06	0.0245891297398338
Q. bicolor	A. relegatoides	0	9189.04129250001	1	0.955877691279871	9187.84278107692	1	0.956289684171415
Q. bicolor	A. relegatus	0	3505.15090853624	1	0.871870753514511	3504.85938612555	1	0.87308943611511
Q. bicolor	A. samai	0	9380.29137750945	1	0.957673218924203	9379.18905146085	1	0.958069172157812
Q. bicolor	A. sulcicollis	0	0.877629994468948	0.000154035016826559	0.158450002870297	0.550819292168041	6.06785375079782e-05	0.131363112285186
